# STM32F103C8T6 Emulation Log
# ELF File: akas_working_space/test_driver/firmware.elf
# Start Time: 2025-10-25 00:45:30
# Entry Point: 0x8000119
# Memory Layout:
# 	Flash: 0x8000000 - 0x801ffff
# 	SRAM:  0x20000000 - 0x20004fff
# Format: ADDRESS: FILE:LINE (FUNCTION)
#

[0x08000118] ldr.w    sp, [pc, #0x2c]
[0x08000298] str      r0, [sp, #0x44]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:26:5 (main)
[0x0800029a] movw     r2, #4
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:28:7 (main)
[0x0800029e] movt     r2, #0x2000
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:28:7 (main)
[0x080002a2] str      r2, [sp, #0x40]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:28:7 (main)
[0x080002a4] str      r1, [sp, #0x3c]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:32:11 (main)
[0x080002a6] movw     r2, #8
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:34:6 (main)
[0x080002aa] movt     r2, #0x2000
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:34:6 (main)
[0x080002ae] str      r2, [sp, #0x38]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:34:6 (main)
[0x080002b0] str      r0, [sp, #0x34]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:40:8 (main)
[0x080002b2] str      r1, [sp, #0x30]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:43:5 (main)
[0x080002b4] ldr      r3, [sp, #0x40]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:50:1 (main)
[0x080002b6] movs     r2, #0x61
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:50:1 (main)
[0x080002b8] strb     r2, [r3]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:50:7 (main)
[0x080002ba] ldr      r2, [sp, #0x40]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:52:1 (main)
[0x080002bc] strb     r1, [r2, #1]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:52:7 (main)
[0x080002be] ldr      r1, [sp, #0x38]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:57:1 (main)
[0x080002c0] str      r0, [r1]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:57:7 (main)
[0x080002c2] ldr      r0, [sp, #0x48]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:63:30 (main)
[0x080002c4] ldr      r1, [sp, #0x44]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:63:32 (main)
[0x080002c6] ldr      r2, [sp, #0x40]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:63:34 (main)
[0x080002c8] ldr      r3, [sp, #0x3c]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:63:38 (main)
[0x080002ca] ldr.w    r12, [sp, #0x38]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:63:43 (main)
[0x080002ce] ldr      r4, [sp, #0x34]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:63:47 (main)
[0x080002d0] mov      lr, sp
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:63:26 (main)
[0x080002d2] str.w    r4, [lr, #4]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:63:26 (main)
[0x080002d6] str.w    r12, [lr]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:63:26 (main)
[0x080002da] bl       0x8000164
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:63:26 (main)
[0x08000164] push     {r7, lr}
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:23:0 (uut)
[0x08000166] mov      r7, sp
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:23:0 (uut)
[0x08000168] sub      sp, #0x30
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:23:0 (uut)
[0x0800016a] ldr.w    r12, [r7, #0xc]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:23:0 (uut)
[0x0800016e] ldr.w    r12, [r7, #8]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:23:0 (uut)
[0x08000172] str      r0, [sp, #0x2c]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:23:0 (uut)
[0x08000174] str      r1, [sp, #0x28]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:23:0 (uut)
[0x08000176] str      r2, [sp, #0x24]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:23:0 (uut)
[0x08000178] str      r3, [sp, #0x20]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:23:0 (uut)
[0x0800017a] bl       0x800026c
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:24:5 (uut)
[0x0800026c] movs     r0, #1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:7:0 (AKA_mark)
[0x0800026e] bx       lr
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:7:17 (AKA_mark)
[0x0800017e] movw     r1, #0
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:25:14 (uut)
[0x08000182] movt     r1, #0x2000
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:25:14 (uut)
[0x08000186] ldr      r0, [r1]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:25:14 (uut)
[0x08000188] adds     r0, #1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:25:14 (uut)
[0x0800018a] str      r0, [r1]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:25:14 (uut)
[0x0800018c] bl       0x800026c
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:26:5 (uut)
[0x0800026c] movs     r0, #1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:7:0 (AKA_mark)
[0x0800026e] bx       lr
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:7:17 (AKA_mark)
[0x08000190] bl       0x800026c
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:27:5 (uut)
[0x0800026c] movs     r0, #1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:7:0 (AKA_mark)
[0x0800026e] bx       lr
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:7:17 (AKA_mark)
[0x08000194] ldr      r0, [sp, #0x2c]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:28:15 (uut)
[0x08000196] ldr      r1, [sp, #0x28]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:28:24 (uut)
[0x08000198] add      r0, r1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:28:17 (uut)
[0x0800019a] ldr      r1, [sp, #0x20]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:28:28 (uut)
[0x0800019c] ldr      r1, [r1]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:28:34 (uut)
[0x0800019e] add      r0, r1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:28:26 (uut)
[0x080001a0] str      r0, [sp, #0x1c]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:28:9 (uut)
[0x080001a2] movs     r0, #0
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:28:9 (uut)
[0x080001a4] str      r0, [sp, #0xc]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:29:9 (uut)
[0x080001a6] str      r0, [sp, #0x18]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:29:9 (uut)
[0x080001a8] bl       0x800026c
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:30:5 (uut)
[0x0800026c] movs     r0, #1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:7:0 (AKA_mark)
[0x0800026e] bx       lr
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:7:17 (AKA_mark)
[0x080001ac] ldr      r0, [sp, #0xc]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:17 (uut)
[0x080001ae] str      r0, [sp, #0x14]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:17 (uut)
[0x080001b0] b        0x80001b2
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:10 (uut)
[0x080001b2] bl       0x800026c
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:24 (uut)
[0x0800026c] movs     r0, #1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:7:0 (AKA_mark)
[0x0800026e] bx       lr
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:7:17 (AKA_mark)
[0x080001b6] mov      r1, r0
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:24 (uut)
[0x080001b8] movs     r0, #0
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:24 (uut)
[0x080001ba] str      r0, [sp, #8]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:198 (uut)
[0x080001bc] cbz      r1, 0x80001e4
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:198 (uut)
[0x080001be] b        0x80001c0
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:198 (uut)
[0x080001c0] bl       0x800026c
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:202 (uut)
[0x0800026c] movs     r0, #1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:7:0 (AKA_mark)
[0x0800026e] bx       lr
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:7:17 (AKA_mark)
[0x080001c4] mov      r1, r0
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:202 (uut)
[0x080001c6] movs     r0, #0
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:202 (uut)
[0x080001c8] str      r0, [sp, #4]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:376 (uut)
[0x080001ca] cbz      r1, 0x80001de
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:376 (uut)
[0x080001cc] b        0x80001ce
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:376 (uut)
[0x080001ce] ldr      r1, [sp, #0x14]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:380 (uut)
[0x080001d0] ldr      r2, [r7, #0xc]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:384 (uut)
[0x080001d2] movs     r0, #0
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:384 (uut)
[0x080001d4] cmp      r1, r2
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:382 (uut)
[0x080001d6] it       lo
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:382 (uut)
[0x080001d8] movlo    r0, #1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:382 (uut)
[0x080001da] str      r0, [sp, #4]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:382 (uut)
[0x080001dc] b        0x80001de
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:382 (uut)
[0x080001de] ldr      r0, [sp, #4]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:0:0 (uut)
[0x080001e0] str      r0, [sp, #8]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:0:0 (uut)
[0x080001e2] b        0x80001e4
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:0:0 (uut)
[0x080001e4] ldr      r0, [sp, #8]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:0:0 (uut)
[0x080001e6] lsls     r0, r0, #0x1f
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:5 (uut)
[0x080001e8] cbz      r0, 0x8000224
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:5 (uut)
[0x080001ea] b        0x80001ec
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:5 (uut)
[0x080001ec] ldr      r0, [sp, #0x18]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:33:27 (uut)
[0x080001ee] adds     r0, #1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:33:27 (uut)
[0x080001f0] str      r0, [sp, #0x18]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:33:27 (uut)
[0x080001f2] ldr      r0, [sp, #0x18]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:34:13 (uut)
[0x080001f4] cmp.w    r0, #0x3e8
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:34:13 (uut)
[0x080001f8] ble      0x80001fe
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:34:13 (uut)
[0x080001fe] bl       0x800026c
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:38:9 (uut)
[0x0800026c] movs     r0, #1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:7:0 (AKA_mark)
[0x0800026e] bx       lr
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:7:17 (AKA_mark)
[0x08000202] bl       0x800026c
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:39:9 (uut)
[0x0800026c] movs     r0, #1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:7:0 (AKA_mark)
[0x0800026e] bx       lr
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:7:17 (AKA_mark)
[0x08000206] ldr      r0, [r7, #8]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:40:16 (uut)
[0x08000208] ldr      r1, [sp, #0x14]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:40:20 (uut)
[0x0800020a] ldr.w    r1, [r0, r1, lsl #2]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:40:16 (uut)
[0x0800020e] ldr      r0, [sp, #0x1c]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:40:13 (uut)
[0x08000210] add      r0, r1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:40:13 (uut)
[0x08000212] str      r0, [sp, #0x1c]
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:40:13 (uut)
[0x08000214] b        0x8000216
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:41:5 (uut)
[0x08000216] bl       0x800026c
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/akas_source/main.c:31:397 (uut)
[0x0800026c] movs     r0, #1
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:7:0 (AKA_mark)
[0x0800026e] bx       lr
	# CodePos:/home/anizme/Documents/AKA/Simulation/AKASimulator/akas_working_space/test_driver/test_driver_uut.c:7:17 (AKA_mark)
[0x0800021a] ldr      r0, [sp, #0x14]
